,school_name,school_code,f_teacher_count,m_teacher_count,year,percent_male
965,Marshfield - Marshfield High,1710505,61.0,31.0,9.0,0.33695652173913043
966,Marshfield - Martinson Elementary,1710025,28.1,2.0,9.0,0.06644518272425248
967,Marshfield - South River,1710010,20.0,5.0,9.0,0.2
970,Marthas Vineyard - Marthas Vineyard Reg High,7000505,40.0,37.6,9.0,0.48453608247422686
973,Masconomet - Masconomet Regional HS,7050505,45.0,33.6,9.0,0.4274809160305344
975,Mashpee - Mashpee High,1720505,20.6,20.7,9.0,0.5012106537530266
984,Medfield - Medfield Senior High,1750505,43.2,19.0,9.0,0.3054662379421222
999,Medway - Medway High,1770505,34.6,19.4,9.0,0.3592592592592592
1000,Medway - Medway Middle,1770305,46.5,13.2,9.0,0.22110552763819094
1001,Medway - Memorial Elementary,1770015,21.7,1.6,9.0,0.06866952789699571
1006,Melrose - Melrose High,1780505,42.0,23.0,9.0,0.35384615384615387
1010,Mendon-Upton - Henry P Clough,7100179,27.5,1.0,9.0,0.03508771929824561
1011,Mendon-Upton - Memorial School,7100001,33.5,1.0,9.0,0.028985507246376812
1012,Mendon-Upton - Miscoe Hill School,7100015,44.8,16.4,9.0,0.2679738562091503
1013,Mendon-Upton - Nipmuc Regional High,7100510,32.9,25.0,9.0,0.4317789291882556
1014,Methuen - Comprehensive Grammar School,1810050,73.8,13.9,9.0,0.15849486887115166
1015,Methuen - Donald P Timony Grammar,1810060,82.8,14.7,9.0,0.15076923076923077
1016,Methuen - Marsh Grammar School,1810030,80.8,12.0,9.0,0.12931034482758622
1017,Methuen - Methuen High,1810505,78.7,51.6,9.0,0.39600920951650037
1019,Methuen - Tenney Grammar School,1810055,84.6,8.0,9.0,0.08639308855291578
1024,Middleborough - Middleborough High,1820505,25.6,32.5,9.0,0.5593803786574871
1037,Millis - Clyde F Brown,1870005,30.5,1.0,9.0,0.031746031746031744
1038,Millis - Millis High School,1870505,13.5,7.8,9.0,0.3661971830985915
1039,Millis - Millis Middle,1870020,21.6,5.6,9.0,0.20588235294117643
1044,Milton - Milton High,1890505,41.9,27.5,9.0,0.39625360230547546
1046,Minuteman Regional Vocational Technical - Minuteman Regional High,8300605,27.6,47.8,9.0,0.6339522546419097
1047,Mohawk Trail - Buckland-Shelburne Reg,7170005,18.5,2.4,9.0,0.11483253588516747
1050,Mohawk Trail - Mohawk Trail Reg High,7170505,23.8,21.7,9.0,0.4769230769230769
1053,Monson - Monson High School,1910505,17.0,13.0,9.0,0.43333333333333335
1055,Montachusett Regional Vocational Technical - Montachusett Reg Voc Tech,8320605,41.0,64.0,9.0,0.6095238095238096
1057,Mystic Valley Regional Charter (District) - Mystic Valley Regional Charter School,4700105,54.0,33.7,9.0,0.38426453819840367
1061,Nantucket - Nantucket High,1970505,25.8,15.7,9.0,0.37831325301204816
1062,Narragansett - Baldwinville Elementary,7200005,9.5,0.8,9.0,0.07766990291262135
1064,Narragansett - Narragansett Middle,7200305,25.0,12.0,9.0,0.32432432432432434
1065,Narragansett - Narragansett Reg High,7200505,23.0,12.0,9.0,0.34285714285714286
1068,Nashoba - Center School,7250020,15.5,3.4,9.0,0.1798941798941799
1069,Nashoba - Florence Sawyer Sch,7250025,40.1,10.8,9.0,0.21218074656188604
1070,Nashoba - Hale,7250310,12.8,5.2,9.0,0.2888888888888889
1071,Nashoba - Luther Burbank Middle School,7250305,13.6,5.6,9.0,0.2916666666666667
1072,Nashoba - Mary Rowlandson Elementary,7250010,25.8,4.2,9.0,0.14
1073,Nashoba - Nashoba Regional,7250505,39.0,22.0,9.0,0.36065573770491804
1075,Nashoba Valley Regional Vocational Technical - Nashoba Valley Tech H S,8520605,18.7,33.3,9.0,0.6403846153846153
1082,Natick - Natick High,1980505,54.4,28.3,9.0,0.3422007255139057
1084,Nauset - Nauset Reg Middle,6600305,42.2,11.6,9.0,0.21561338289962823
1085,Nauset - Nauset Regional High,6600505,48.2,30.9,9.0,0.3906447534766119
1086,Needham - Broadmeadow,1990005,26.3,3.1,9.0,0.10544217687074829
1087,Needham - Hillside Elementary,1990035,19.1,1.7,9.0,0.08173076923076923
1088,Needham - John Eliot,1990020,18.1,1.7,9.0,0.08585858585858586
1089,Needham - Needham High,1990505,44.1,44.8,9.0,0.5039370078740156
1090,Needham - Newman Elem,1990050,32.3,2.5,9.0,0.07183908045977012
1091,Needham - Pollard Middle,1990405,45.0,27.4,9.0,0.3784530386740331
1092,Needham - William Mitchell,1990040,20.7,3.8,9.0,0.15510204081632653
1112,New Bedford - New Bedford High,2010505,106.2,88.8,9.0,0.4553846153846154
1126,Newburyport - Newburyport High,2040505,30.9,17.0,9.0,0.35490605427974947
1143,Newton - Newton North High,2070505,68.3,64.5,9.0,0.4856927710843373
1144,Newton - Newton South High,2070510,63.3,51.9,9.0,0.45052083333333337
1150,Norfolk - Freeman-Centennial,2080005,32.0,2.0,9.0,0.058823529411764705
1152,Norfolk County Agricultural - Norfolk County Agr,9150705,25.4,17.0,9.0,0.4009433962264151
1158,North Andover - Annie L Sargent School,2110018,28.5,1.7,9.0,0.056291390728476824
1159,North Andover - Atkinson,2110001,16.9,2.5,9.0,0.1288659793814433
1160,North Andover - Franklin,2110010,19.0,0.9,9.0,0.04522613065326633
1161,North Andover - Kittredge,2110015,12.2,1.5,9.0,0.10948905109489052
1162,North Andover - North Andover High,2110505,47.0,31.0,9.0,0.3974358974358974
1163,North Andover - North Andover Middle,2110305,34.4,17.0,9.0,0.33073929961089493
1164,North Andover - Thomson,2110020,22.7,0.2,9.0,0.008733624454148473
1166,North Attleborough - Amvet Boulevard,2120007,23.1,0.0,9.0,0.0
1167,North Attleborough - Community,2120030,23.4,1.0,9.0,0.04098360655737705
1168,North Attleborough - Falls,2120010,13.2,0.6,9.0,0.043478260869565216
1169,North Attleborough - Joseph W Martin Jr Elem,2120013,37.6,0.7,9.0,0.01827676240208877
1170,North Attleborough - North Attleboro High,2120505,46.2,29.0,9.0,0.3856382978723404
1172,North Attleborough - North Attleborough Middle,2120305,50.8,23.4,9.0,0.3153638814016173
